lower_ci,upper_ci,method,n,iter
0.7265622981033184,1.5136013811607083,robust,1000,15
-0.994,2.897,trad,10,16
-0.6994361139105288,2.6022061916973422,robust,10,16
-0.946,0.416,trad,100,16
-1.4320355829500402,0.902233151590906,robust,100,16
0.853,1.291,trad,1000,16
0.6925331744023515,1.4509031573548323,robust,1000,16
-1.262,1.441,trad,10,17
-1.0066756536109955,1.1848661444184412,robust,10,17
0.388,1.78,trad,100,17
0.13203159661411823,2.0363073640977385,robust,100,17
0.677,1.154,trad,1000,17
0.43706552509494867,1.3946384143640143,robust,1000,17
-1.79,2.007,trad,10,18
-2.152504206010766,2.3693443099409155,robust,10,18
0.869,2.312,trad,100,18
0.19466237516748075,2.986679505062686,robust,100,18
0.713,1.208,trad,1000,18
0.4771050652577611,1.4437208127836185,robust,1000,18
-1.978,3.723,trad,10,19
-1.5833763871997881,3.328983065081336,robust,10,19
0.697,1.833,trad,100,19
0.34353287119629605,2.1856411122177732,robust,100,19
1.077,1.636,trad,1000,19
0.7142226110964007,1.9981846790119062,robust,1000,19
-1.293,2.474,trad,10,20
-1.153601831893583,2.333942694138564,robust,10,20
0.425,1.435,trad,100,20
0.14763688019572474,1.712473085326398,robust,100,20
0.832,1.222,trad,1000,20
0.6830652910812567,1.3707915390054468,robust,1000,20
0.031,6.086,trad,10,21
-0.3712625295832721,6.487977335082566,robust,10,21
0.338,2.191,trad,100,21
-0.30786867284701414,2.837476097919577,robust,100,21
0.436,0.861,trad,1000,21
0.252804688457047,1.0439848041601028,robust,1000,21
1.703,5.737,trad,10,22
2.1054235282105473,5.334980517740459,robust,10,22
-1.06,0.557,trad,100,22
-2.071865093431222,1.5683200794912193,robust,100,22
0.603,0.991,trad,1000,22
0.4159740526459204,1.177590067317451,robust,1000,22
-0.723,2.181,trad,10,23
-0.7888452624604373,2.2467010537401806,robust,10,23
0.458,1.638,trad,100,23
0.20818803276721365,1.886962717049815,robust,100,23
0.705,1.161,trad,1000,23
0.4783468211813616,1.3874078508638612,robust,1000,23
1.04,8.182,trad,10,24
0.8143960846032159,8.407858226239519,robust,10,24
-0.067,1.156,trad,100,24
-0.16484549052145114,1.2543509306409812,robust,100,24
0.68,1.043,trad,1000,24
0.5668409765070967,1.1560349139880943,robust,1000,24
0.448,3.279,trad,10,25
0.6965298209997373,3.0307419227297334,robust,10,25
0.967,2.089,trad,100,25
0.6298355834217624,2.425436078562804,robust,100,25
0.919,1.337,trad,1000,25
0.7257589570520765,1.5305551941269884,robust,1000,25
1.053,2.847,trad,10,26
1.3395305860517634,2.5606136166316227,robust,10,26
0.878,2.442,trad,100,26
0.2671668370515625,3.053271211675023,robust,100,26
1.059,1.476,trad,1000,26
0.8667858225824292,1.6679330856870178,robust,1000,26
-1.251,0.754,trad,10,27
-1.228855686752775,0.7323854151101218,robust,10,27
0.503,1.453,trad,100,27
0.20405963587776021,1.7517475529884083,robust,100,27
0.67,1.047,trad,1000,27
0.5636773474603881,1.153052082971041,robust,1000,27
-3.192,2.18,trad,10,28
-2.624692392492516,1.6122686952397998,robust,10,28
0.129,1.606,trad,100,28
-0.39781230988363336,2.132478811990542,robust,100,28
1.173,1.716,trad,1000,28
0.7103731732143271,2.178675171041163,robust,1000,28
-1.304,1.172,trad,10,29
-0.8255485735358791,0.693115430034411,robust,10,29
1.592,2.733,trad,100,29
1.2633844692936407,3.0621433248423386,robust,100,29
0.852,1.217,trad,1000,29
0.7289281297519228,1.3396788870919556,robust,1000,29
0.227,5.16,trad,10,30
0.2689768328291353,5.117103857566082,robust,10,30
0.478,2.273,trad,100,30
0.06920114291090629,2.681867239468091,robust,100,30
0.636,1.139,trad,1000,30
0.4028581595749844,1.3717572844652515,robust,1000,30
1.547,2.477,trad,10,31
1.6255403014427765,2.3980765225891405,robust,10,31
0.808,2.106,trad,100,31
0.2841996694145581,2.6299115093974335,robust,100,31
0.69,1.06,trad,1000,31
0.5403641891247801,1.210354320828155,robust,1000,31
-1.856,3.07,trad,10,32
-1.904963687961489,3.1187066866125157,robust,10,32
0.599,1.813,trad,100,32
-0.07222583497677415,2.4847202736665874,robust,100,32
0.775,1.133,trad,1000,32
0.6695471977328759,1.2384137093079564,robust,1000,32
-2.645,0.765,trad,10,33
-2.2281343692029356,0.3476119694555928,robust,10,33
-0.699,0.583,trad,100,33
-1.2925832954120267,1.1772314717724426,robust,100,33
0.742,1.112,trad,1000,33
0.5997648363624035,1.2542160027100202,robust,1000,33
-0.601,4.681,trad,10,34
0.12311992865768318,3.9578189899039797,robust,10,34
0.592,1.728,trad,100,34
0.1961164634738889,2.123171346593101,robust,100,34
1.011,1.369,trad,1000,34
0.9035553909342827,1.4768085145680847,robust,1000,34
-3.028,3.705,trad,10,35
-2.184290903392354,2.8613669451542383,robust,10,35
0.582,1.865,trad,100,35
0.5674921370585062,1.8792258324286124,robust,100,35
0.581,1.024,trad,1000,35
0.37487947087938767,1.2306273543961912,robust,1000,35
-1.157,1.755,trad,10,36
-0.7559907126839892,1.3542774393835177,robust,10,36
1.346,2.65,trad,100,36
0.6543546687798649,3.341465134786072,robust,100,36
0.867,1.289,trad,1000,36
0.7148658830842077,1.4413081677219912,robust,1000,36
0.312,2.976,trad,10,37
0.5702432060047964,2.7172703678981693,robust,10,37
0.723,2.017,trad,100,37
0.4792505636181237,2.2614249696065745,robust,100,37
0.921,1.365,trad,1000,37
0.7033263553039011,1.5825310362072713,robust,1000,37
-1.117,0.946,trad,10,38
