n,beta,iter
10,1.415665816101094,1
100,1.7286857285575339,1
1000,1.0714985492634628,1
10,1.4219268795850066,2
100,0.6355730378259351,2
1000,0.8127555878640156,2
10,2.682576193014377,3
100,0.7075270688297426,3
1000,1.3597190962746035,3
10,0.99858471449392,4
100,1.5351107370255714,4
1000,1.2613077606837049,4
10,0.5161507053808408,5
100,0.7184721248505793,5
1000,1.1949819219501554,5
10,0.0018131571416662206,6
100,1.6307981713304076,6
1000,0.8656655194711519,6
10,1.8576909030299738,7
100,1.3931408266478857,7
1000,0.9977394303575717,7
10,3.2139186994100135,8
100,2.398580426012576,8
1000,0.9320398363741186,8
10,1.8559437216560952,9
100,1.597956710623985,9
1000,0.9258781582818049,9
10,1.2390067391118518,10
100,1.4102608096800733,10
1000,1.0968764515323888,10
10,1.1243219682038876,11
100,0.7397927691854289,11
1000,0.9254602116273531,11
10,2.8509774176899048,12
100,0.694839059677856,12
1000,1.175463804628194,12
10,2.3153629955915997,13
100,2.148102745522776,13
1000,0.9723301887074685,13
10,0.8414946635141823,14
100,0.2562853281931738,14
1000,1.5476303717952555,14
10,1.0761628830765841,15
100,0.09455298818816313,15
1000,1.1200818396320134,15
10,0.9513850388934068,16
100,-0.26490121567956704,16
1000,1.071718165878592,16
10,0.08909524540372271,17
100,1.0841694803559283,17
1000,0.9158519697294815,17
10,0.10842005196507477,18
100,1.5906709401150834,18
1000,0.9604129390206898,18
10,0.8728033389407739,19
100,1.2645869917070347,19
1000,1.3562036450541535,19
10,0.5901704311224903,20
100,0.9300549827610614,20
1000,1.0269284150433517,20
10,3.058357402749647,21
100,1.2648037125362814,21
1000,0.6483947463085749,21
10,3.7202020229755033,22
100,-0.2517725069700014,22
1000,0.7967820599816857,22
10,0.7289278956398716,23
100,1.0475753749085144,23
1000,0.9328773360226114,23
10,4.611127155421367,24
100,0.544752720059765,24
1000,0.8614379452475955,24
10,1.8636358718647352,25
100,1.5276358309922833,25
1000,1.1281570755895325,25
10,1.950072101341693,26
100,1.6602190243632926,26
1000,1.2673594541347235,26
10,-0.24823513582132653,27
100,0.9779035944330843,27
1000,0.8583647152157144,27
10,-0.5062118486263579,28
100,0.8673332510534543,28
1000,1.444524172127745,28
10,-0.06621657175073406,29
100,2.1627638970679897,29
1000,1.0343035084219392,29
10,2.693040345197609,30
100,1.3755341911894987,30
1000,0.8873077220201179,30
10,2.0118084120159585,31
100,1.4570555894059958,31
1000,0.8753592549764676,31
10,0.6068714993255134,32
100,1.2062472193449068,32
1000,0.9539804535204162,32
10,-0.9402611998736714,33
100,-0.05767591181979194,33
1000,0.9269904195362119,33
10,2.0404694592808315,34
100,1.159643905033495,34
1000,1.1901819527511837,34
10,0.3385380208809421,35
100,1.2233589847435593,35
1000,0.8027534126377894,35
10,0.2991433633497643,36
100,1.9979099017829685,36
1000,1.0780870254030994,36
10,1.6437567869514829,37
100,1.370337766612349,37
1000,1.1429286957555862,37
10,-0.0853669633812603,38
100,0.8371102398890958,38
1000,1.1252679778667478,38
10,1.1672982648463996,39
100,2.148345146786618,39
1000,0.9361582829528332,39
10,0.29970730914109917,40
100,1.4518677181937218,40
1000,1.0669220853558807,40
10,0.9971702065629672,41
100,1.3247922237444785,41
1000,1.064434755953939,41
10,0.9623963357887241,42
100,1.1040700187926455,42
1000,0.6851620794177189,42
10,-0.13177445803571997,43
100,0.3152841234050791,43
1000,0.8819834985815245,43
10,-0.6465319718083988,44
100,0.9894279124004409,44
1000,1.205431145121123,44
10,2.047783689854866,45
100,1.026278792070866,45
1000,1.2235610039684908,45
10,1.4469541889567126,46
100,2.2641582174562247,46
1000,0.7318431779881909,46
10,0.7930045737952506,47
100,0.28347078134085113,47
1000,0.7677289541346228,47
10,3.214113742882897,48
100,0.864368263368149,48
1000,1.4730067580830388,48
10,1.7809815875690893,49
100,1.7241686265778045,49
1000,0.5596248202469316,49
10,0.7550574022505108,50
100,-0.8269895664600465,50
1000,1.0442742034635366,50
10,-0.48063234011632233,51
100,1.2252704718902725,51
1000,0.8980729102674954,51
10,2.367764940133056,52
100,0.4284694816783758,52
1000,1.1960121914795383,52
10,2.43445992053818,53
100,1.082132514950799,53
1000,1.0578016275581306,53
10,-0.2792552170561651,54
100,0.9771460398407876,54
1000,0.9060402042940141,54
10,0.828905903652536,55
100,1.763167312636811,55
1000,1.0349015327684592,55
10,1.8043157066104136,56
100,1.3549605307964296,56
1000,0.8104579698127505,56
10,1.5973888207986078,57
100,0.50456667019284,57
1000,0.8147248139459572,57
10,1.914291885998619,58
100,0.8651728983389839,58
1000,1.1844032625913348,58
10,3.4932375343201314,59
100,0.7962749850404155,59
1000,0.8815886142504066,59
10,-0.38457014662049954,60
100,0.9053664484615416,60
1000,1.0192165478301158,60
10,1.6492599510373565,61
100,0.2673750748851405,61
1000,1.4154955426229434,61
10,1.305209529506257,62
100,0.3353502199952822,62
1000,1.3798399700811117,62
10,0.7123970166907044,63
100,0.9366145930657309,63
1000,0.7143182136241738,63
10,-0.5363876450946155,64
100,0.7382663251097945,64
1000,0.5692438113183795,64
10,2.373513878087986,65
100,1.143818696891257,65
1000,0.9990484642263322,65
10,0.9632060776847796,66
100,0.3602679830688207,66
1000,0.9965573312064887,66
10,1.1052902526785806,67
100,1.451459062658794,67
1000,0.9903589836268328,67
10,9.315842917848748,68
100,0.39414234483046934,68
1000,1.2267264198324268,68
10,0.23813988090171018,69
100,0.22770523140998922,69
1000,1.2129115755744408,69
10,1.26163087467234,70
100,0.04368375769382685,70
1000,1.0086079936405292,70
10,0.3002311648991316,71
100,0.5813725839743886,71
1000,1.1750168681393027,71
10,1.2934111023721282,72
100,2.2004525551836633,72
1000,1.3895107386195842,72
10,2.8855252377285168,73
100,1.8591968115889483,73
1000,0.6536609532265774,73
10,0.6882043889535101,74
100,0.28964544615118304,74
1000,1.1906330902005664,74
10,-0.31750234865799426,75
100,0.4433886804641509,75
1000,1.1747462627509697,75
10,0.04592996763885156,76
100,1.2577110982974677,76
1000,1.0832035755108946,76
10,6.423770375058779,77
100,1.1093757352650835,77
1000,0.8690325863980947,77
10,2.80702408231079,78
100,1.073320121147042,78
1000,0.9287039137737827,78
10,0.5148369079467997,79
100,1.3538427603332381,79
1000,1.0968605593712786,79
10,3.0562410079985725,80
100,1.4120369983375953,80
1000,0.9605161908281069,80
10,0.7173277979108958,81
100,0.9095552957284249,81
1000,0.9882946342425966,81
10,1.2192121558045894,82
100,0.05866650535367567,82
1000,1.0222058701732897,82
10,1.5391187455105535,83
100,0.9031264721486655,83
1000,0.7815430033621081,83
10,2.9355844094975754,84
100,-0.05117598984867263,84
1000,0.9132202127331315,84
10,-0.8965164169658928,85
100,1.1419271850282537,85
1000,1.2126690955248156,85
10,4.002170310286927,86
100,0.6361177734758231,86
1000,1.1631061278839876,86
10,-0.2656720943515861,87
100,1.2757514094078999,87
1000,0.7456803653182966,87
10,0.9630486307454453,88
100,0.6891906880375438,88
1000,1.037892759794612,88
10,1.3535479397301216,89
100,0.1289926533943378,89
1000,1.074819224171028,89
10,-0.9046831723631514,90
100,0.7107549741643078,90
1000,1.305377454018938,90
10,1.6149137566252698,91
100,1.0083795773156685,91
1000,0.6735781619268141,91
10,0.26517241560348503,92
100,1.8636106588130705,92
1000,0.9487150517196384,92
10,1.5293542506739846,93
100,1.1705582523639506,93
1000,1.1176118478537513,93
10,-0.340253071622852,94
100,-0.499709927035281,94
1000,0.9279488247113679,94
10,0.25933705546299884,95
100,1.1379517448429548,95
1000,0.994349483035524,95
10,0.1782026286615113,96
100,2.0331038515355018,96
1000,1.5233938087223582,96
10,0.908612768427247,97
100,0.07633933441779968,97
1000,1.0924248097801175,97
10,-0.5875843063542234,98
100,1.2924082509846,98
1000,0.909625335933833,98
10,2.3379769479687487,99
100,0.9635645587072057,99
1000,1.103946803869209,99
10,-2.72936937404961,100
100,1.1210990494402786,100
1000,0.47766400296755457,100
10,-0.6048947479451584,101
100,0.8309179836603349,101
1000,1.1480102866872683,101
10,0.6379112669601239,102
100,1.550147952734033,102
1000,1.1748212368928193,102
10,0.0691682803848218,103
100,1.7438131486803818,103
1000,0.9348012119007998,103
10,0.7432089512348898,104
100,1.20858186028633,104
1000,0.5831655237708574,104
10,1.7063678914271725,105
100,1.3962432465700882,105
1000,1.0494033917113597,105
10,3.101444395978444,106
100,1.0064977716590942,106
1000,0.9634981283718437,106
10,1.2752532544006778,107
100,2.06687456685392,107
1000,1.0044725762402213,107
10,-1.7659857421506355,108
100,0.8172307425654711,108
1000,1.0336331244213997,108
10,0.779718738816471,109
100,1.9627028153598383,109
1000,0.7664575474624119,109
10,6.024148595578301,110
100,3.981096929641414,110
1000,0.9627631385316306,110
10,0.4695180913427565,111
100,0.3357884100014699,111
1000,1.0743343276890907,111
10,1.7266459924045705,112
100,1.1458940035625182,112
1000,0.76916755842716,112
10,0.05109822014545439,113
100,1.2470248119146485,113
1000,1.1412978514532204,113
10,-0.9844141887003127,114
100,0.5280649138296362,114
1000,0.94845709028562,114
10,2.9355707551572423,115
100,1.1858035222475882,115
1000,0.6924355445618859,115
10,1.5743023864558334,116
100,1.2292650959966123,116
1000,0.7211098140865386,116
10,2.7738100228407445,117
100,1.416926446830049,117
1000,0.7398056876791349,117
10,2.942479654881068,118
100,1.7697276698939972,118
1000,0.6656130856665005,118
10,0.795487028507711,119
100,1.0518875472740454,119
1000,0.9056247852418503,119
10,-0.4943254741750838,120
100,1.2386817731544857,120
1000,0.7506977668418188,120
10,3.789898603803485,121
100,1.3401731684425002,121
1000,1.199685461669616,121
10,-0.1126391860849081,122
100,0.33366743884060895,122
1000,0.8969445761429531,122
10,10.966300774468841,123
100,1.4486063288365347,123
1000,1.2966016222072854,123
10,1.2266927246217882,124
100,0.6410964043588385,124
1000,1.2693066233934354,124
10,1.3248494785620792,125
100,1.547234703249671,125
1000,0.994527252983442,125
10,1.7075873868649956,126
100,0.7683885601999197,126
1000,0.980908566603303,126
10,1.6364326045951627,127
100,1.7777731999610906,127
1000,0.908661428274181,127
10,0.3615512347330397,128
100,1.0941220080240677,128
1000,0.9942349456853872,128
10,-3.464503585085039,129
100,0.9910391753222476,129
1000,1.4609089235036044,129
10,-1.145907457589432,130
100,1.2170397389496084,130
1000,1.2020308156427035,130
10,2.839541248171401,131
100,2.016302444170431,131
